iteration,fidelity,n_samples,radius,thickness,npanels,theta,length,y_raw,y_cnp,y_cnp_err,y_rGe77[nuc/(kg*yr)]
0,0,50000,170.8,5.2,94.0,49.4,8.4,54.0,0.1869,0.0187,0.1598
0,0,50000,219.6,9.2,4.0,2.6,58.8,58.0,0.158,0.0181,0.1719
0,0,50000,143.6,16.0,158.0,24.3,5.6,62.0,0.2048,0.0194,0.1904
0,0,50000,244.5,5.6,253.0,48.6,5.3,64.0,0.3897,0.0277,0.193
0,0,50000,231.6,6.2,284.0,56.8,6.5,56.0,0.4754,0.0286,0.1728
0,0,50000,157.9,5.9,61.0,58.7,7.8,78.0,0.1807,0.0184,0.2279
0,0,50000,136.4,5.6,28.0,51.3,3.7,80.0,0.1745,0.018,0.2351
0,0,50000,177.1,10.0,220.0,76.8,3.1,54.0,0.3324,0.0242,0.1623
0,0,50000,123.0,10.4,37.0,21.2,5.0,68.0,0.2008,0.0191,0.1979
0,0,50000,203.5,17.6,108.0,37.2,2.8,42.0,0.1961,0.0198,0.1297
0,0,50000,204.2,7.5,83.0,35.0,21.6,50.0,0.1873,0.0193,0.146
0,0,50000,220.2,13.2,7.0,14.4,19.2,68.0,0.1571,0.018,0.2034
0,0,50000,144.5,10.6,184.0,56.0,3.4,52.0,0.239,0.0208,0.1553
0,0,50000,228.3,6.6,98.0,67.8,10.7,80.0,0.2529,0.0228,0.2437
0,0,50000,224.8,10.4,104.0,52.5,5.6,54.0,0.2263,0.0216,0.1626
0,0,50000,253.3,13.4,203.0,51.5,3.3,70.0,0.3831,0.0275,0.2172
0,0,50000,190.6,6.1,59.0,48.6,9.0,70.0,0.1812,0.0188,0.2079
0,0,50000,127.3,17.2,79.0,10.5,9.2,42.0,0.2113,0.0194,0.1248
0,0,50000,245.4,10.0,50.0,14.2,16.4,68.0,0.1866,0.0201,0.2002
0,0,50000,245.0,14.6,17.0,4.2,41.9,40.0,0.1759,0.0197,0.1217
0,0,50000,186.9,5.1,21.0,28.7,27.4,74.0,0.1596,0.0175,0.2247
0,0,50000,189.4,15.5,81.0,86.1,2.3,64.0,0.2323,0.0215,0.1912
0,0,50000,146.2,6.9,114.0,38.2,6.4,44.0,0.2015,0.0192,0.132
0,0,50000,181.3,6.4,61.0,77.2,6.2,62.0,0.1955,0.0195,0.1801
0,0,50000,138.3,18.0,143.0,19.0,4.2,36.0,0.203,0.0192,0.1095
0,0,50000,126.7,7.2,5.0,8.1,54.6,54.0,0.1831,0.0183,0.1653
0,0,50000,251.8,5.9,76.0,11.1,26.2,71.0,0.2102,0.0219,0.2186
0,0,50000,158.0,18.4,197.0,6.7,5.1,36.0,0.2103,0.0198,0.1074
0,0,50000,249.7,12.6,216.0,12.7,3.2,66.0,0.2844,0.0245,0.1998
0,0,50000,207.0,11.2,28.0,11.9,38.3,68.0,0.1589,0.0178,0.2031
0,0,50000,188.5,7.7,32.0,3.5,49.9,82.0,0.1582,0.0174,0.2426
0,0,50000,220.4,10.2,291.0,4.6,3.9,56.0,0.3544,0.0261,0.1699
0,0,50000,159.6,12.6,38.0,5.3,11.6,46.0,0.1712,0.0178,0.1376
0,0,50000,206.2,8.0,14.0,8.9,14.4,60.0,0.1447,0.0168,0.1765
0,0,50000,137.9,13.7,130.0,72.0,5.8,48.0,0.2226,0.0202,0.1545
0,0,50000,225.9,8.7,46.0,8.1,28.4,70.0,0.1658,0.0185,0.2128
0,0,50000,180.8,12.2,24.0,6.0,41.7,34.0,0.1556,0.0172,0.1029
0,0,50000,218.0,8.2,177.0,82.1,6.1,50.0,0.3625,0.0263,0.1486
0,0,50000,235.5,5.4,48.0,80.9,8.1,72.0,0.2821,0.0252,0.2137
0,0,50000,145.8,7.3,94.0,56.0,14.8,50.0,0.1992,0.0192,0.1477
0,0,50000,126.8,7.6,255.0,63.1,3.4,48.0,0.3091,0.0222,0.1413
0,0,50000,134.3,5.7,152.0,20.5,3.1,62.0,0.203,0.0191,0.1837
0,0,50000,138.8,9.2,45.0,42.9,6.5,44.0,0.1829,0.0183,0.1285
0,0,50000,195.4,7.4,11.0,27.3,19.6,76.0,0.157,0.0176,0.2277
0,0,50000,220.4,5.2,77.0,84.6,13.0,79.0,0.261,0.0233,0.2323
0,0,50000,253.0,13.6,37.0,11.1,25.6,60.0,0.193,0.0209,0.185
0,0,50000,213.4,7.0,157.0,7.5,2.4,50.0,0.2026,0.0199,0.1543
0,0,50000,225.2,12.2,72.0,36.5,2.8,60.0,0.1983,0.0203,0.1798
0,0,50000,127.8,9.9,30.0,9.0,39.4,46.0,0.1957,0.0188,0.1392
0,0,50000,107.8,8.5,156.0,57.0,3.3,78.0,0.2302,0.0202,0.2273
0,0,50000,122.6,15.6,251.0,64.9,3.7,60.0,0.3241,0.0227,0.1769
0,0,50000,170.8,6.9,33.0,19.2,26.1,44.0,0.1647,0.0176,0.1323
0,0,50000,147.6,7.6,38.0,69.1,6.9,82.0,0.1756,0.0182,0.2443
0,0,50000,176.2,12.5,252.0,78.6,5.4,54.0,0.4044,0.0259,0.1612
0,0,50000,234.7,11.0,327.0,72.0,7.1,62.0,0.6407,0.0273,0.1909
0,0,50000,183.0,9.9,68.0,39.6,5.0,58.0,0.1739,0.0182,0.1724
0,0,50000,164.6,10.0,81.0,4.4,8.2,52.0,0.1811,0.0183,0.1554
0,0,50000,174.2,11.8,8.0,56.5,2.1,82.0,0.1648,0.0181,0.2415
0,0,50000,97.9,11.1,280.0,36.2,2.4,56.0,0.2861,0.0214,0.1756
0,0,50000,178.0,16.5,145.0,83.5,3.0,52.0,0.2671,0.0225,0.1576
0,0,50000,240.8,14.8,130.0,47.0,5.8,88.0,0.2633,0.0237,0.2668
0,0,50000,210.8,16.9,180.0,21.6,6.4,74.0,0.2321,0.0216,0.2305
0,0,50000,185.6,7.9,57.0,32.7,9.6,56.0,0.172,0.0182,0.1678
0,0,50000,199.7,8.4,16.0,2.7,33.7,38.0,0.1478,0.0169,0.1143
0,0,50000,238.8,13.8,116.0,26.6,13.3,58.0,0.2276,0.0222,0.1795
0,0,50000,148.7,6.4,76.0,1.4,7.1,58.0,0.1987,0.019,0.1697
0,0,50000,205.7,7.5,272.0,87.8,11.3,46.0,0.5138,0.0277,0.1369
0,0,50000,215.6,11.0,67.0,28.2,11.3,62.0,0.1822,0.0193,0.185
0,0,50000,221.8,5.7,117.0,27.4,12.2,56.0,0.1975,0.0201,0.1684
0,0,50000,236.0,10.8,90.0,83.3,5.8,72.0,0.3029,0.0249,0.2211
0,0,50000,220.4,6.2,174.0,35.2,10.0,56.0,0.2553,0.0227,0.1692
0,0,50000,226.2,17.8,215.0,6.0,4.0,42.0,0.2536,0.0229,0.1321
0,0,50000,224.8,16.0,203.0,30.8,2.0,58.0,0.2767,0.0237,0.1777
0,0,50000,120.0,10.0,107.0,82.8,8.4,50.0,0.2128,0.0198,0.148
0,0,50000,211.2,11.3,46.0,9.1,15.6,60.0,0.16,0.0178,0.1809
0,0,50000,238.2,19.2,38.0,3.2,3.9,62.0,0.1623,0.0184,0.1872
