iteration,fidelity,n_samples,radius,thickness,npanels,theta,length,y_raw,y_cnp,y_cnp_err,y_rGe77[nuc/(kg*yr)]
0,0,50000,100.7,10.5,35.0,31.8,13.0,68.0,0.2238,0.0199,0.2028
0,0,50000,173.5,14.9,267.0,57.2,3.2,44.0,0.3805,0.0254,0.1315
0,0,50000,235.8,5.0,267.0,40.6,3.4,78.0,0.3747,0.027,0.235
0,0,50000,229.3,6.5,235.0,54.3,7.2,56.0,0.3656,0.0268,0.1685
0,0,50000,0.0,0.0,0.0,0.0,0.0,110.0,0.3866,0.0221,0.3212
0,0,50000,95.0,10.0,360.0,0.0,1.7,44.0,0.295,0.0224,0.13
0,0,50000,200.0,10.0,360.0,0.0,3.5,50.0,0.4461,0.0275,0.1498
0,0,50000,116.02,1.1,52.0,39.6,35.7,80.0,0.2102,0.0195,0.233
0,1,10000000,0.0,0.0,0.0,0.0,0.0,626.0,0.3836,0.0219,0.238
0,1,10000000,95.0,10.0,360.0,0.0,1.7,382.0,0.1958,0.0185,0.1529
0,1,10000000,200.0,10.0,360.0,0.0,3.5,303.0,0.2322,0.0195,0.1258
0,1,10000000,116.2,1.1,52.0,39.6,35.7,621.0,0.2214,0.0198,0.2353
1,0,50000,183.8,5.1,219.0,49.0,19.8,46.0,0.2846,0.0232,0.1392
2,0,50000,184.2,5.1,218.0,48.9,17.8,53.0,0.2787,0.0229,0.1596
3,0,50000,202.4,2.7,29.0,10.4,78.7,63.0,0.1637,0.0182,0.1856
4,0,50000,208.4,4.3,18.0,3.0,50.6,51.0,0.1516,0.0173,0.1516
5,0,50000,225.2,9.6,7.0,0.0,3.5,57.0,0.1408,0.0168,0.168
6,0,50000,201.4,2.6,317.0,52.1,16.6,47.0,0.4785,0.0276,0.1408
1,1,10000000,183.8,5.1,219.0,49.0,19.8,179.0,0.1634,0.0172,0.1447
2,1,10000000,184.2,5.1,218.0,48.9,17.8,192.0,0.1632,0.0172,0.1671
3,1,10000000,202.4,2.7,29.0,10.4,78.7,257.0,0.1305,0.0155,0.1939
4,1,10000000,208.4,4.3,18.0,3.0,50.6,237.0,0.13,0.0155,0.1897
5,1,10000000,225.2,9.6,7.0,0.0,3.5,213.0,0.1164,0.0146,0.1778
6,1,10000000,201.4,2.6,317.0,52.1,16.6,202.0,0.2081,0.0188,0.1569
