iteration,fidelity,n_samples,water_shielding_mm,veto_thickness_mm,y_cnp,y_cnp_err,y_raw,log_prop,bce
0.00000,0.00000,15000.00000,16.20000,110.00000,0.27050,0.00566,0.24100,0.57465,0.09995
0.00000,0.00000,15000.00000,36.20000,90.00000,0.26845,0.00566,0.24060,0.58285,0.12002
0.00000,0.00000,10000.00000,46.20000,80.00000,0.26129,0.00693,0.22700,0.58228,0.11802
0.00000,0.00000,15000.00000,56.20000,70.00000,0.26409,0.00566,0.23380,0.57513,0.10202
0.00000,0.00000,15000.00000,36.20000,90.00000,0.26557,0.00566,0.23633,0.58248,0.11980
0.00000,0.00000,10000.00000,46.20000,80.00000,0.25867,0.00693,0.23070,0.58407,0.12325
0.00000,0.00000,15000.00000,86.20000,40.00000,0.26363,0.00566,0.23733,0.57414,0.09770
0.00000,0.00000,15000.00000,36.20000,90.00000,0.26364,0.00566,0.23700,0.58457,0.12498
0.00000,0.00000,10000.00000,106.20000,20.00000,0.26929,0.00693,0.23610,0.58260,0.11907
0.00000,0.00000,15000.00000,56.20000,70.00000,0.27042,0.00566,0.24367,0.57692,0.10500
0.00000,0.00000,15000.00000,36.20000,90.00000,0.26065,0.00566,0.23240,0.58110,0.11561
0.00000,0.00000,10000.00000,106.20000,20.00000,0.26611,0.00693,0.23450,0.58309,0.11992
0.00000,0.00000,15000.00000,16.20000,110.00000,0.26330,0.00566,0.23380,0.57461,0.09898
0.00000,0.00000,15000.00000,36.20000,90.00000,0.26045,0.00566,0.23293,0.58234,0.11907
0.00000,0.00000,10000.00000,46.20000,80.00000,0.26654,0.00693,0.23690,0.58358,0.12325
0.00000,0.00000,15000.00000,16.20000,110.00000,0.26505,0.00566,0.23680,0.57339,0.09633
0.00000,0.00000,15000.00000,66.20000,60.00000,0.26446,0.00566,0.23147,0.58078,0.11508
0.00000,0.00000,10000.00000,46.20000,80.00000,0.27175,0.00693,0.24010,0.58266,0.11963
0.00000,0.00000,15000.00000,86.20000,40.00000,0.26653,0.00566,0.23733,0.57386,0.09713
0.00000,0.00000,15000.00000,66.20000,60.00000,0.26662,0.00566,0.23733,0.58047,0.11443
0.00000,0.00000,10000.00000,106.20000,20.00000,0.26020,0.00693,0.22930,0.58210,0.11698
0.00000,0.00000,15000.00000,86.20000,40.00000,0.26565,0.00566,0.23513,0.57493,0.10012
0.00000,0.00000,15000.00000,96.20000,30.00000,0.26585,0.00566,0.23700,0.58202,0.11833
0.00000,0.00000,10000.00000,106.20000,20.00000,0.26688,0.00693,0.23770,0.58507,0.12582
0.00000,0.00000,15000.00000,56.20000,70.00000,0.26468,0.00566,0.23680,0.57334,0.09613
0.00000,0.00000,15000.00000,66.20000,60.00000,0.25891,0.00566,0.22887,0.58106,0.11565
0.00000,0.00000,10000.00000,106.20000,20.00000,0.26259,0.00693,0.23210,0.58163,0.11625
0.00000,0.00000,15000.00000,16.20000,110.00000,0.26990,0.00566,0.24113,0.57444,0.09933
0.00000,0.00000,15000.00000,96.20000,30.00000,0.26802,0.00566,0.24047,0.58345,0.12335
0.00000,0.00000,10000.00000,106.20000,20.00000,0.26557,0.00693,0.23620,0.58400,0.12337
0.00000,0.00000,15000.00000,86.20000,40.00000,0.26649,0.00566,0.23853,0.57679,0.10500
0.00000,0.00000,15000.00000,36.20000,90.00000,0.26863,0.00566,0.24093,0.58196,0.11772
0.00000,0.00000,10000.00000,46.20000,80.00000,0.26483,0.00693,0.23290,0.58119,0.11513
0.00000,0.00000,15000.00000,56.20000,70.00000,0.26788,0.00566,0.24307,0.58184,0.11832
0.00000,0.00000,15000.00000,96.20000,30.00000,0.26825,0.00566,0.24093,0.58148,0.11771
0.00000,0.00000,10000.00000,46.20000,80.00000,0.26686,0.00693,0.23410,0.58159,0.11626
0.00000,0.00000,15000.00000,56.20000,70.00000,0.26782,0.00566,0.23880,0.57390,0.09772
0.00000,0.00000,15000.00000,36.20000,90.00000,0.26374,0.00566,0.23340,0.58218,0.11973
0.00000,0.00000,10000.00000,46.20000,80.00000,0.26318,0.00693,0.23300,0.58309,0.12095
0.00000,0.00000,15000.00000,16.20000,110.00000,0.26672,0.00566,0.23733,0.57374,0.09777
0.00000,0.00000,15000.00000,66.20000,60.00000,0.26467,0.00566,0.23587,0.58154,0.11728
0.00000,0.00000,10000.00000,106.20000,20.00000,0.26790,0.00693,0.23820,0.58244,0.11841
0.00000,0.00000,15000.00000,16.20000,110.00000,0.26544,0.00566,0.23813,0.57379,0.09703
0.00000,0.00000,15000.00000,36.20000,90.00000,0.26477,0.00566,0.23720,0.58175,0.11769
0.00000,0.00000,10000.00000,106.20000,20.00000,0.26364,0.00693,0.23470,0.58384,0.12330
0.00000,0.00000,15000.00000,56.20000,70.00000,0.26682,0.00566,0.23713,0.57473,0.09963
0.00000,0.00000,15000.00000,36.20000,90.00000,0.26568,0.00566,0.23727,0.58338,0.12242
0.00000,0.00000,10000.00000,46.20000,80.00000,0.26668,0.00693,0.23660,0.58344,0.12190
0.00000,0.00000,14000.00000,16.20000,110.00000,0.26575,0.00586,0.23743,0.57318,0.09630
0.00000,0.00000,15000.00000,66.20000,60.00000,0.26150,0.00566,0.23167,0.58175,0.11879
0.00000,0.00000,6000.00000,106.20000,20.00000,0.26611,0.00895,0.23450,0.58255,0.11940
0.00000,0.00000,10000.00000,16.20000,110.00000,0.26721,0.00693,0.24230,0.57006,0.08689
0.00000,0.00000,12000.00000,36.20000,90.00000,0.26357,0.00633,0.23533,0.58067,0.11543
0.00000,0.00000,5000.00000,106.20000,20.00000,0.25039,0.00980,0.20900,0.58049,0.11243
0.00000,0.00000,10000.00000,56.20000,70.00000,0.26880,0.00693,0.24320,0.57018,0.08802
0.00000,0.00000,8000.00000,66.20000,60.00000,0.25606,0.00775,0.23400,0.58249,0.11937
