iteration,fidelity,n_samples,water_shielding_mm,veto_thickness_mm,y_cnp,y_cnp_err,y_raw,log_prop,bce
0.00000,0.00000,15000.00000,46.20000,80.00000,0.33634,0.00566,0.24427,0.66578,0.34177
0.00000,0.00000,15000.00000,56.20000,70.00000,0.33191,0.00566,0.24100,0.66077,0.32874
0.00000,0.00000,10000.00000,96.20000,30.00000,0.32218,0.00693,0.22150,0.66061,0.32593
0.00000,0.00000,15000.00000,66.20000,60.00000,0.33149,0.00566,0.23967,0.66455,0.33828
0.00000,0.00000,15000.00000,56.20000,70.00000,0.32946,0.00566,0.23380,0.66066,0.32837
0.00000,0.00000,10000.00000,96.20000,30.00000,0.32072,0.00693,0.22570,0.66103,0.32763
0.00000,0.00000,15000.00000,36.20000,90.00000,0.33580,0.00566,0.24693,0.66474,0.33945
0.00000,0.00000,15000.00000,56.20000,70.00000,0.32919,0.00566,0.23733,0.66007,0.32663
0.00000,0.00000,10000.00000,106.20000,20.00000,0.32344,0.00693,0.22120,0.66322,0.33280
0.00000,0.00000,15000.00000,66.20000,60.00000,0.33323,0.00566,0.24067,0.66567,0.33999
0.00000,0.00000,15000.00000,56.20000,70.00000,0.33494,0.00566,0.24367,0.66308,0.33360
0.00000,0.00000,10000.00000,106.20000,20.00000,0.32486,0.00693,0.22210,0.66386,0.33436
0.00000,0.00000,15000.00000,46.20000,80.00000,0.33274,0.00566,0.24287,0.66622,0.34105
0.00000,0.00000,15000.00000,56.20000,70.00000,0.32743,0.00566,0.23380,0.65982,0.32624
0.00000,0.00000,10000.00000,96.20000,30.00000,0.32421,0.00693,0.22200,0.66477,0.33667
0.00000,0.00000,15000.00000,46.20000,80.00000,0.33466,0.00566,0.23967,0.66470,0.33810
0.00000,0.00000,15000.00000,86.20000,40.00000,0.32907,0.00566,0.23680,0.65996,0.32643
0.00000,0.00000,10000.00000,96.20000,30.00000,0.32797,0.00693,0.22780,0.66418,0.33494
0.00000,0.00000,15000.00000,36.20000,90.00000,0.33154,0.00566,0.24013,0.66314,0.33449
0.00000,0.00000,15000.00000,86.20000,40.00000,0.33070,0.00566,0.23733,0.66015,0.32643
0.00000,0.00000,10000.00000,106.20000,20.00000,0.32213,0.00693,0.22510,0.66135,0.32825
0.00000,0.00000,15000.00000,36.20000,90.00000,0.33642,0.00566,0.24573,0.66717,0.34428
0.00000,0.00000,15000.00000,16.20000,110.00000,0.32731,0.00566,0.23513,0.65987,0.32659
0.00000,0.00000,10000.00000,106.20000,20.00000,0.32782,0.00693,0.22460,0.66471,0.33674
0.00000,0.00000,15000.00000,66.20000,60.00000,0.33216,0.00566,0.23560,0.66392,0.33678
0.00000,0.00000,15000.00000,86.20000,40.00000,0.33005,0.00566,0.23680,0.66024,0.32707
0.00000,0.00000,10000.00000,106.20000,20.00000,0.32108,0.00693,0.22200,0.65951,0.32376
0.00000,0.00000,15000.00000,46.20000,80.00000,0.33644,0.00566,0.25013,0.66493,0.34048
0.00000,0.00000,15000.00000,16.20000,110.00000,0.33151,0.00566,0.24113,0.66099,0.32912
0.00000,0.00000,10000.00000,106.20000,20.00000,0.32437,0.00693,0.22170,0.66450,0.33592
0.00000,0.00000,15000.00000,36.20000,90.00000,0.33771,0.00566,0.24513,0.66550,0.34020
0.00000,0.00000,15000.00000,56.20000,70.00000,0.33118,0.00566,0.23853,0.66185,0.33114
0.00000,0.00000,10000.00000,96.20000,30.00000,0.32371,0.00693,0.22660,0.66172,0.32824
0.00000,0.00000,15000.00000,66.20000,60.00000,0.33430,0.00566,0.24447,0.66508,0.33919
0.00000,0.00000,15000.00000,16.20000,110.00000,0.33258,0.00566,0.24307,0.66278,0.33376
0.00000,0.00000,10000.00000,96.20000,30.00000,0.32415,0.00693,0.22880,0.66301,0.33196
0.00000,0.00000,15000.00000,66.20000,60.00000,0.33462,0.00566,0.23620,0.66647,0.34367
